,lemma,word form,sentence,doc index,sent index,token index,tokenized sentence,is_randomized,randomized indices,randomized sentence,new token index
3714,eat,eat,And then we went to bruce to eat and met up with naomi and rebecca and then the boy walked in and so naomi asked him to come sit with us and he had his cd player with him,21012,28,7,"('And', 'then', 'we', 'went', 'to', 'bruce', 'to', 'eat', 'and', 'met', 'up', 'with', 'naomi', 'and', 'rebecca', 'and', 'then', 'the', 'boy', 'walked', 'in', 'and', 'so', 'naomi', 'asked', 'him', 'to', 'come', 'sit', 'with', 'us', 'and', 'he', 'had', 'his', 'cd', 'player', 'with', 'him')",True,"(29, 28, 5, 13, 36, 24, 22, 6, 27, 17, 14, 8, 21, 33, 16, 4, 31, 30, 38, 2, 18, 34, 1, 7, 35, 25, 26, 11, 3, 37, 15, 20, 0, 10, 23, 9, 12, 32, 19)","('with', 'sit', 'bruce', 'and', 'player', 'asked', 'so', 'to', 'come', 'the', 'rebecca', 'and', 'and', 'had', 'then', 'to', 'and', 'us', 'him', 'we', 'boy', 'his', 'then', 'eat', 'cd', 'him', 'to', 'with', 'went', 'with', 'and', 'in', 'And', 'up', 'naomi', 'met', 'naomi', 'he', 'walked')",23.0
1876,eat,eating,"I am not an animal lover, i have no problems with eating meat, nor with eating meat from animals who spent their sad lives in a little cage.",30302,12,17,"('I', 'am', 'not', 'an', 'animal', 'lover', ',', 'i', 'have', 'no', 'problems', 'with', 'eating', 'meat', ',', 'nor', 'with', 'eating', 'meat', 'from', 'animals', 'who', 'spent', 'their', 'sad', 'lives', 'in', 'a', 'little', 'cage', '.')",True,"(8, 6, 9, 27, 15, 19, 4, 13, 5, 12, 1, 26, 29, 22, 11, 23, 21, 20, 24, 17, 18, 0, 10, 2, 25, 7, 3, 30, 16, 28, 14)","('have', ',', 'no', 'a', 'nor', 'from', 'animal', 'meat', 'lover', 'eating', 'am', 'in', 'cage', 'spent', 'with', 'their', 'who', 'animals', 'sad', 'eating', 'meat', 'I', 'problems', 'not', 'lives', 'i', 'an', '.', 'with', 'little', ',')",19.0
375,eat,ate,but until at night when ate too much... then voice lyk change a little..,27109,23,5,"('but', 'until', 'at', 'night', 'when', 'ate', 'too', 'much', '...', 'then', 'voice', 'lyk', 'change', 'a', 'little', '..')",True,"(8, 0, 13, 4, 5, 10, 2, 11, 9, 1, 14, 6, 7, 12, 3, 15)","('...', 'but', 'a', 'when', 'ate', 'voice', 'at', 'lyk', 'then', 'until', 'little', 'too', 'much', 'change', 'night', '..')",4.0
569,eat,eating,If you have you might notice that carbohydrates are what you should be eating the most of throughout the day.,16490,9,13,"('If', 'you', 'have', 'you', 'might', 'notice', 'that', 'carbohydrates', 'are', 'what', 'you', 'should', 'be', 'eating', 'the', 'most', 'of', 'throughout', 'the', 'day', '.')",True,"(11, 5, 4, 0, 18, 17, 16, 9, 6, 2, 7, 8, 13, 14, 15, 19, 10, 12, 1, 3, 20)","('should', 'notice', 'might', 'If', 'the', 'throughout', 'of', 'what', 'that', 'have', 'carbohydrates', 'are', 'eating', 'the', 'most', 'day', 'you', 'be', 'you', 'you', '.')",12.0
3100,eat,eating,"Where are we going to get not eating carbs, aka, one of the most important molecules in your body?",10261,12,7,"('Where', 'are', 'we', 'going', 'to', 'get', 'not', 'eating', 'carbs', ',', 'aka', ',', 'one', 'of', 'the', 'most', 'important', 'molecules', 'in', 'your', 'body', '?')",True,"(12, 4, 21, 15, 8, 11, 9, 10, 19, 18, 14, 3, 13, 16, 6, 5, 7, 2, 0, 17, 20, 1)","('one', 'to', '?', 'most', 'carbs', ',', ',', 'aka', 'your', 'in', 'the', 'going', 'of', 'important', 'not', 'get', 'eating', 'we', 'Where', 'molecules', 'body', 'are')",16.0
1307,eat,eating,I ended up changing and eating with naomi and rebecca and zahir and kevin and megan and terra and hanna.,21011,52,5,"('I', 'ended', 'up', 'changing', 'and', 'eating', 'with', 'naomi', 'and', 'rebecca', 'and', 'zahir', 'and', 'kevin', 'and', 'megan', 'and', 'terra', 'and', 'hanna', '.')",True,"(13, 2, 7, 1, 19, 3, 18, 12, 10, 5, 14, 8, 11, 16, 0, 20, 9, 6, 4, 15, 17)","('kevin', 'up', 'naomi', 'ended', 'hanna', 'changing', 'and', 'and', 'and', 'eating', 'and', 'and', 'zahir', 'and', 'I', '.', 'rebecca', 'with', 'and', 'megan', 'terra')",9.0
3241,eat,eat,"If he wanted money to eat, then i would just cut out the middle man.",38768,11,5,"('If', 'he', 'wanted', 'money', 'to', 'eat', ',', 'then', 'i', 'would', 'just', 'cut', 'out', 'the', 'middle', 'man', '.')",True,"(12, 16, 14, 15, 8, 7, 4, 0, 11, 13, 6, 3, 10, 1, 9, 2, 5)","('out', '.', 'middle', 'man', 'i', 'then', 'to', 'If', 'cut', 'the', ',', 'money', 'just', 'he', 'would', 'wanted', 'eat')",16.0
244,eat,eat,but it was good to be with akri then we went to eat at newport and ordered a big cake athat tasted really good,35642,5,12,"('but', 'it', 'was', 'good', 'to', 'be', 'with', 'akri', 'then', 'we', 'went', 'to', 'eat', 'at', 'newport', 'and', 'ordered', 'a', 'big', 'cake', 'athat', 'tasted', 'really', 'good')",True,"(3, 15, 11, 2, 6, 23, 17, 19, 13, 16, 20, 0, 1, 18, 5, 14, 9, 4, 12, 8, 7, 10, 22, 21)","('good', 'and', 'to', 'was', 'with', 'good', 'a', 'cake', 'at', 'ordered', 'athat', 'but', 'it', 'big', 'be', 'newport', 'we', 'to', 'eat', 'then', 'akri', 'went', 'really', 'tasted')",18.0
912,eat,eat,"But yvette likes  lengua  (tongue), and i refuse to eat anything that can taste me back.",4082,23,14,"('But', 'yvette', 'likes', ' ', 'lengua', ' ', '(', 'tongue', ')', ',', 'and', 'i', 'refuse', 'to', 'eat', 'anything', 'that', 'can', 'taste', 'me', 'back', '.')",True,"(6, 3, 17, 16, 13, 21, 20, 1, 4, 19, 0, 8, 10, 12, 15, 18, 14, 5, 9, 11, 7, 2)","('(', ' ', 'can', 'that', 'to', '.', 'back', 'yvette', 'lengua', 'me', 'But', ')', 'and', 'refuse', 'anything', 'taste', 'eat', ' ', ',', 'i', 'tongue', 'likes')",16.0
1805,eat,ate,So we ate at the cracker barrel and they had the most amusing hangman game there.,30821,19,2,"('So', 'we', 'ate', 'at', 'the', 'cracker', 'barrel', 'and', 'they', 'had', 'the', 'most', 'amusing', 'hangman', 'game', 'there', '.')",True,"(6, 14, 1, 10, 12, 0, 2, 7, 16, 4, 13, 5, 11, 3, 15, 9, 8)","('barrel', 'game', 'we', 'the', 'amusing', 'So', 'ate', 'and', '.', 'the', 'hangman', 'cracker', 'most', 'at', 'there', 'had', 'they')",6.0
759,eat,eat,my fren bring me there eat n go to c doctor.,32522,16,5,"('my', 'fren', 'bring', 'me', 'there', 'eat', 'n', 'go', 'to', 'c', 'doctor', '.')",True,"(1, 11, 7, 6, 8, 3, 10, 9, 4, 2, 5, 0)","('fren', '.', 'go', 'n', 'to', 'me', 'doctor', 'c', 'there', 'bring', 'eat', 'my')",10.0
3286,eat,eating,"it was fun, except that i had horrible stomach pains, seriously, since we've stopped eating like rich foods, when i eat something semi rich or oily, my stomach is not happy.",37000,4,18,"('it', 'was', 'fun', ',', 'except', 'that', 'i', 'had', 'horrible', 'stomach', 'pains', ',', 'seriously', ',', 'since', 'we', ""'ve"", 'stopped', 'eating', 'like', 'rich', 'foods', ',', 'when', 'i', 'eat', 'something', 'semi', 'rich', 'or', 'oily', ',', 'my', 'stomach', 'is', 'not', 'happy', '.')",True,"(15, 20, 27, 8, 24, 16, 10, 5, 18, 0, 22, 12, 33, 19, 14, 29, 30, 17, 32, 3, 37, 21, 6, 26, 28, 25, 11, 31, 1, 36, 13, 35, 23, 2, 34, 9, 4, 7)","('we', 'rich', 'semi', 'horrible', 'i', ""'ve"", 'pains', 'that', 'eating', 'it', ',', 'seriously', 'stomach', 'like', 'since', 'or', 'oily', 'stopped', 'my', ',', '.', 'foods', 'i', 'something', 'rich', 'eat', ',', ',', 'was', 'happy', ',', 'not', 'when', 'fun', 'is', 'stomach', 'except', 'had')",8.0
2940,eat,eat,"(like please take some i dont want to eat much of this!)..and she looks over at my plate and is like... um, i dont think thats the fish-",37035,21,10,"('(', 'like', 'please', 'take', 'some', 'i', 'do', 'nt', 'want', 'to', 'eat', 'much', 'of', 'this!)', '..', 'and', 'she', 'looks', 'over', 'at', 'my', 'plate', 'and', 'is', 'like', '...', 'um', ',', 'i', 'do', 'nt', 'think', 'that', 's', 'the', 'fish-')",True,"(4, 3, 27, 33, 1, 16, 23, 22, 28, 19, 13, 20, 15, 18, 5, 17, 34, 8, 10, 31, 6, 21, 0, 35, 7, 25, 9, 11, 32, 29, 26, 12, 14, 30, 2, 24)","('some', 'take', ',', 's', 'like', 'she', 'is', 'and', 'i', 'at', 'this!)', 'my', 'and', 'over', 'i', 'looks', 'the', 'want', 'eat', 'think', 'do', 'plate', '(', 'fish-', 'nt', '...', 'to', 'much', 'that', 'do', 'um', 'of', '..', 'nt', 'please', 'like')",18.0
1133,eat,eat,I didnt do anything but sit here on the computer and eat.,33477,3,12,"('I', 'did', 'nt', 'do', 'anything', 'but', 'sit', 'here', 'on', 'the', 'computer', 'and', 'eat', '.')",True,"(13, 10, 0, 2, 7, 4, 3, 1, 8, 12, 11, 5, 6, 9)","('.', 'computer', 'I', 'nt', 'here', 'anything', 'do', 'did', 'on', 'eat', 'and', 'but', 'sit', 'the')",9.0
1828,eat,eat,I know this place once we skip the class n go there to eat the tasty food there.,32515,12,13,"('I', 'know', 'this', 'place', 'once', 'we', 'skip', 'the', 'class', 'n', 'go', 'there', 'to', 'eat', 'the', 'tasty', 'food', 'there', '.')",True,"(18, 14, 8, 12, 3, 2, 7, 4, 13, 15, 9, 5, 10, 1, 17, 11, 6, 16, 0)","('.', 'the', 'class', 'to', 'place', 'this', 'the', 'once', 'eat', 'tasty', 'n', 'we', 'go', 'know', 'there', 'there', 'skip', 'food', 'I')",8.0
1728,eat,eating,Now i'm eating and doing greek.,26026,1,3,"('Now', 'i', ""'m"", 'eating', 'and', 'doing', 'greek', '.')",True,"(0, 4, 7, 6, 5, 3, 1, 2)","('Now', 'and', '.', 'greek', 'doing', 'eating', 'i', ""'m"")",5.0
2577,eat,ate,"On friday i came home and went on the computer, i took a shower then blowdryed my hair, ate some chinese and got dressed and put on some makeup.",29890,2,20,"('On', 'friday', 'i', 'came', 'home', 'and', 'went', 'on', 'the', 'computer', ',', 'i', 'took', 'a', 'shower', 'then', 'blowdryed', 'my', 'hair', ',', 'ate', 'some', 'chinese', 'and', 'got', 'dressed', 'and', 'put', 'on', 'some', 'makeup', '.')",True,"(3, 8, 16, 7, 24, 29, 28, 5, 4, 1, 21, 2, 11, 30, 12, 15, 31, 23, 22, 14, 10, 20, 19, 18, 13, 6, 27, 9, 0, 26, 17, 25)","('came', 'the', 'blowdryed', 'on', 'got', 'some', 'on', 'and', 'home', 'friday', 'some', 'i', 'i', 'makeup', 'took', 'then', '.', 'and', 'chinese', 'shower', ',', 'ate', ',', 'hair', 'a', 'went', 'put', 'computer', 'On', 'and', 'my', 'dressed')",21.0
1791,eat,eat,"I'd sip root beer and eat matt's chocolate chip cookies from grandma's famous glass cookie jar, and sing with harry caray during the 7th inning stretch.",11908,7,6,"('I', ""'d"", 'sip', 'root', 'beer', 'and', 'eat', 'matt', ""'s"", 'chocolate', 'chip', 'cookies', 'from', 'grandma', ""'s"", 'famous', 'glass', 'cookie', 'jar', ',', 'and', 'sing', 'with', 'harry', 'caray', 'during', 'the', '7th', 'inning', 'stretch', '.')",True,"(22, 17, 16, 8, 4, 5, 9, 23, 3, 26, 29, 30, 11, 10, 25, 28, 21, 27, 12, 6, 18, 20, 13, 14, 2, 24, 19, 15, 7, 1, 0)","('with', 'cookie', 'glass', ""'s"", 'beer', 'and', 'chocolate', 'harry', 'root', 'the', 'stretch', '.', 'cookies', 'chip', 'during', 'inning', 'sing', '7th', 'from', 'eat', 'jar', 'and', 'grandma', ""'s"", 'sip', 'caray', ',', 'famous', 'matt', ""'d"", 'I')",19.0
3112,eat,eat,Ask her to eat!!',124,6,3,"('Ask', 'her', 'to', 'eat', '!', '!', ""'"")",True,"(5, 2, 4, 1, 3, 0, 6)","('!', 'to', '!', 'her', 'eat', 'Ask', ""'"")",4.0
