lemma (V),sentence,dobj,dobj index
watch,"no i don't like it when people touch w/o some kind of prior warning, but its neccessary to remind everyone of this new kind of entertainment... 'watch rachel cringe'????",cringe,32
watch,"We went back to kate's house after that and watched 10 things i hate about you (one of my favorite movies, aaaaahhhh  heath ledger...  hottie!!)",things,12
watch,"I usually roll over, and watch the sunrise and think how pretty it is... before i groan, and curse at the ungodly hours of the morning {anything before eleven} 9) favorite colors?",sunrise,8
watch,"Seeing through some different eyes i can't find, my medications failed, again again  i can feel a change i can feel, can you feel it see it on the street watching heat from the pavement",heat,36
watch,"My imitations wrong of them again trapped inside this cheap hotel bored as hell turing the channels 'round  i can feel a change i can feel, can you feel it see it on the street watching heat from the pavement",heat,39
watch,"Cause i'm here, ready to take it all here everything's feeling unclear i wish it was raining cause i hate every beautiful day  i can feel a change i can feel, can you feel it see it on the street watching heat from the pavement  i can feel a change i can feel, can you feel it",heat,46
watch,"and i'll be nobody.}  anyway... moving on... happy thoughts... getting flowers, even if they are crazy colored and make me think i'm delusional watching the patterns of light change in the forest as the light filters down through the leaves being loved doing absolutely nothing and knowing that there isn't anything i should be doing while i'm doing nothing.",patterns,34
watch,"Scared and bare on the green plastic-pillowed trolley   i watched my teaset, my bureaus of linen, my books   sink out of sight, and the water went over my head.",teaset,14
watch,"Nobody watched me before, now i am watched.",me,2
watch,"Sean came over at 5, and we hung out, and watched moulin rouge...",rouge,14
watch,yay for watching old musicals... with judy garland and fred astaire...  its even better than a chick flick fest!,musicals,4
watch,but i'll go rent it and then watch it eight times.,it,9
watch,I watched 'the hours' with chantele last night.,hours,4
watch,"any way, and then on the way home from church, i was sitting at a stop light behind a mini van, and this really good song came on the radio {i don't even remember what it was}  but i was singing along, having fun, playing the drums on the steering wheel etc.  lol, and i look up, and can see the guy driving the mini van in front of me watching me in his rear view mirror, and then like four kids in the back seat all turn around to look at me...  it was really fun, i laughed pretty much all the rest of the way home...",me,84
watch,but now we're watching chik fliks...  which all three of us have agreed have become horribly depressing... especially the kissing scenes...,fliks,6
watch,"Thus i had fun sitting watching movies with my parents friday night, i walked across the quad and had a very interesting conversation with mattea {a girl at school a lot of people don't really like to be around}   ali sherman told me she though i was cool because i know what i believe in, and my faith is really strong, and yet i'm still willing to listen to other people's opinions.",movies,6
watch,I'm watching  my fair lady,lady,6
watch,I'm watching cinderella :-),cinderella,3
watch,"I sit and watch sappy old black and white and sepia love story movies, and i know what that's like.",movies,13
watch,"I watched the couples  on their day-late valentines date, showing off, laughing, holding hands.",couples,3
watch,"I'm watching the mtv special on gay marriages in america and attitudes toward homosexuality, and being infuriated, i would like to state my opinion.",special,5
watch,"Run a tank over the geraniums, turn the wind up to hurricane so the daisies' heads tear off and hurtle through the air like bullets, drop the baby from the balcony and watch the mother swan-dive after him,  with her snarled ophelia hair and addled screams.'",dive,40
watch,"Wonderful things: i'm watching south pacific:   i expect everyone of my crowd to make fun of my proud protestations of faith in romance, and they'll say i'm nave as a babe to believe every fable i hear from a person in pants.",pacific,7
watch,"When i was little we'd always go to the game on the 4th of july to watch the fireworks with our next door neighbors, and my childhood best friend, rynie {or ryan...",fireworks,19
watch,We watched the lightening last night...  and talked.  a lot.},lightening,3
watch,We watched the lightening last night...  and talked.  a lot.},lot,13
watch,"But as i was watching it, i wasn&#8217;t really seeing it, but something entirely different.",it,5
watch,"I love watching their faces as they learn new things, they're so curious, and their wonder is so great.",faces,4
watch,"Julius caesar is definately not my favorite shakespearian play, but i have a feeling i would have liked it a little better this time if i had actually gotten to watch it.",it,32
watch,"Yup - that's the reason we watch the tour, and you, lance - keep blowing away expectations!  upupupup!",tour,9
watch,I stopped watching the show after about four episodes.,show,4
watch,"I don't watch it anymore, either, because it's plain that the idea has been subverted by girly-men, and turned into a parody of itself.)",it,4
watch,I'm literally crying after watching this video  urllink of howard dean in a full on tirade .,video,7
watch,Movie review after  i watch it.,it,6
watch,"Update:  just watched it, didn't even get to finish it it was so bad.",it,5
watch,Just like you have every right not to watch it.,it,9
watch,"So, i was watching the season finale of ' urllink all star survivor ' last night with the roommates, and somewhere between glass of wine #4, 6 and beer # something, i decided it was a good idea to call the boss and tell him i was going to be coming in around noon today.",finale,7
watch,Michael moore suffers from a sadly non-fatal disease called a.n.t.s (absolutely no talent syndrome) and watching his movies is less stimulating than intravenous valium and almost as unpleasant as watching naked 70-year-old homosexuals fuck.,movies,21
watch,Michael moore suffers from a sadly non-fatal disease called a.n.t.s (absolutely no talent syndrome) and watching his movies is less stimulating than intravenous valium and almost as unpleasant as watching naked 70-year-old homosexuals fuck.,fuck,41
watch,Everyone else watching the parade thinks i wonder if there will be elephants!,parade,4
watch,Perhaps a bit too in your face with moore's opinion--but any adult with half a brain can take the facts from the speculation--we do this every day when we watch the news.,news,36
watch,After that we went to play and watch tv...,tv,8
watch,"but drop one of them while i was bathing...haiz, tml tuition buy one more... haha... think i'm getting hopeless because no mood to study in this exam period.... now watching a basketball show 'dear boys'.. hehe... on of the guys inside very handsome....",show,39
watch,Gio didnt want to watch it he hates those movies that portray italian americans as violent and bad.,it,6
watch,"Olive garden, where i can eat exactly one thing on the menu, the chicken caesar salad, and watch the rest of my table feed on sumptuous-smelling breadsticks.",rest,22
watch,"There are some vague themes and emotional tones in the piece, but if you broke it down and analyzed it, i think you would only make yourself sick, so really you should just watch it and enjoy it for the eye candy it is.",it,37
watch,"Riding out in the middle of the first inning on a motorized scooter, the ballapeno indulges in the sort of fun, wacky mascot antics you’d expect of a mascot playing to 4400 a night who’ve come to watch double a players with big league aspirations.",players,44
watch,then i got to the hotel and didn't swim or go for a run i sat down after sitting all day and watched tv!,tv,24
watch,And instead of spending it partying i've been spending it at school and watching tv for half the day.,tv,15
watch,"Daily plan tomorrow: wake up at 12, watch tv, eat, call ae and get a job, watch more tv, eat some more, go out to dinner with family, call people to see what we're doing at night and sit around at someones house complaining that we're bored yet not thinking of anything to do.",tv,10
watch,"Daily plan tomorrow: wake up at 12, watch tv, eat, call ae and get a job, watch more tv, eat some more, go out to dinner with family, call people to see what we're doing at night and sit around at someones house complaining that we're bored yet not thinking of anything to do.",tv,23
watch,"and i feel like i didn't waste my time just sitting there watching tv, i at least added food to it all.",tv,14
watch,"but ya then i got home and watched tv and fell asleep at 3:15 and woke up at 5, it was nice, and then i watched more tv until like 9 when someone finally called and asked if i wanted to do something, so ya i hung out with joesphine, freddie, and and gabby (gandy), nick, and kate, but mostly jo and fred 'cause everyone left early.",tv,8
watch,"but ya then i got home and watched tv and fell asleep at 3:15 and woke up at 5, it was nice, and then i watched more tv until like 9 when someone finally called and asked if i wanted to do something, so ya i hung out with joesphine, freddie, and and gabby (gandy), nick, and kate, but mostly jo and fred 'cause everyone left early.",tv,29
watch,"But anways we walked down the path to the beach and then we were standing by this bench and all of a sudden we just see this man, just one, sitting there like on the rocks in the water and he wasn't really moving, so nick and i, everyone else was stupid and stayed, took off running, and got freaked out, but then we turned around, but ya it was really freaky and weird 'cause you just don't go to a beach at dark with no lights by yourself, but ya we kinda stayed a little longer, with me of course freaking out, and he was just sitting there, yes he moved up and was alive, and kinda was just watching us, i freaked out and left, haha.",us,136
watch,there's only really enough for 1 person lesson number 6: sponge-bob square pants macaroni and chesse are hella good lesson number 7: if you don't want a stupid song stuck in your head... don't watch the disney channel.....,channel,45
watch,"This is going to be quick, hopefully, 'cause i'm gonna go watch a movie...",movie,17
watch,"Whoa, i gotta watch it so i can be ready for bad boys 2!",it,6
watch,"My day was super boring, i watched tv probably about 3/4 of the day if not more.",tv,8
watch,"7- when i ask you how the movie was, don't say 'i don't know i wasn't watching it.'",it,22
watch,"So i watched the final destination 2 today, man it's pretty freaky, it really makes you think, how the hell are we all gonna die?",destination,5
watch,"People think that's halarious and it is, but seriously it's so werid to think about what actually makes us have the most fun, you can't just sit there with all your friends and have fun, you can't just watch a movie and really have, it's take effort i tell ya.",movie,47
watch,"But really if you watch a persons eyes and just look in them, you can see right through them, you really can.",eyes,7
watch,I want to go back to playing with my barbies i want to go back watching raffe...,raffe,16
watch,"I miss having sleepovers when i was like 10, it would consist of playing with barbies, eating popcorn, and watching a pg movie or being a rebel and watching a pg-13 one.",movie,25
watch,"I miss having sleepovers when i was like 10, it would consist of playing with barbies, eating popcorn, and watching a pg movie or being a rebel and watching a pg-13 one.",one,34
watch,"I had spent 3 days this week sitting, actually no lying down on my couch, attempting to watch tv litterally the whole day.",tv,20
watch,Seriously i didn't even think he would want to hang out with us 'cause we would spend our time like playing cards or just sitting in the hot tub or sitting in our room watching movies.,movies,36
watch,so we strolled around key west at like 2 in the morning and just sat around and walked around watching all the drunks and watching for fights to happen.,drunks,22
watch,"Another night we watched harry potter 2 in our room at like 2 in the morning and eric, the guy feel asleep on the floor watching it",potter,5
watch,"Another night we watched harry potter 2 in our room at like 2 in the morning and eric, the guy feel asleep on the floor watching it",it,27
watch,(310) watched your fave movie?,movie,6
watch,"So i'm sitting watching mtv and bam, it hits me, what has our society come down to when people start watching reality tv about 19 year olds in a competition trying to get married at spring break?",mtv,5
watch,"So i'm sitting watching mtv and bam, it hits me, what has our society come down to when people start watching reality tv about 19 year olds in a competition trying to get married at spring break?",tv,25
watch,"So i'm sitting watching mtv and bam, it hits me, what has our society come down to when people start watching reality tv about 19 year olds in a competition trying to get married at spring break?",olds,29
watch,"I've been watching the show room raiders on mtv lately, well ok since like september, but ya i really like the show, not because it's a dating show and what not, but because it shows people's rooms and how they express themselves.",raiders,7
watch,Then i had hot chocolate and fell asleep watching a movie by the fire......,movie,10
watch,Bell rang time to go home or to lacrosse if i feel like watching super troopers!,troopers,15
watch,I watched the whole time and was amazed at how much blood can come out of you in like 2 seconds from one tiny needle.,time,4
watch,"So we went to my house watched a movie and then emily and gilby decided to go home at like 1, but then emily couldn't find her keys.",movie,8
watch,Sitting and watching tv just didn't sound too much like a good time.,tv,3
watch,"With this thought and with the relaxation of her body compressed in his arms, she just watched him and looked him in his eyes.",him,18
watch,"Because my sister watched the show many times at her friends houses, she too became part of this obsessive group of wanting more 'sex in the city.'",show,5
watch,"However you may want to think about it, you sick litte freaks, all my message meant was that i was watching a movie with sean.",movie,24
watch,Next time when sean and i watch a movie it'll go something like this:  i'm sitting on my couch watching  [specific name]  with sean.,movie,8
watch,Next time when sean and i watch a movie it'll go something like this:  i'm sitting on my couch watching  [specific name]  with sean.,name,27
watch,"Although he is my boyfriend and some of you may interpret this differently, really all we're doing is watching a movie....",movie,22
watch,Went to watch spidey today...,spidey,3
watch,You don't have to watch much primetime tv to get a glimpse of some of the outrageous views that are out there.,tv,8
watch,"Just the other night i was watching  law and order: criminal intent , an episode entitled 'ill-bred.'",law,8
watch,"4 tv shows you enjoy watching  - 24, friends, the office, the simpsons.",24,8
watch,I got suckered into watching the end of it,end,6
watch,I caught a clip of some of the show when my girlfriend was watching it and there was a segment where it showed 'those wacky kids' having fun between rehearsals.,it,14
watch,"But lately, i seem to be watching it more for the crazed 'live studio audience', the judges, and the inane circus clowns, oops, i mean 'hosts', than the actual performers.",it,8
watch,"But lately, i seem to be watching it more for the crazed 'live studio audience', the judges, and the inane circus clowns, oops, i mean 'hosts', than the actual performers.",hosts,33
watch,We decided to crash some weddings in the area in order to watch the djs in action.,djs,14
watch,"I ended up watching a bad video tape (static, cut off before the end) of the emmys - how about that  everybody loves raymond , huh?",tape,7
watch,It got a little surreal when on saturday night i found myself at a friends cabin watching the miss america pageant.,pageant,20
watch,"Signs  was good, but not great, so i guess that's better than a sharp stick in the eye...and watching  one hour photo  again.",photo,28
watch,"As an added bonus, i got to watch the newest episode of the sopranos.",episode,11
watch,"I watched tons of college football; i teed it up with a local dj/turntablist (who is playing quite well lately (on the course and on the wheels of steel)), and i took the cold (achoo!)",tons,2
watch,"It's funny the perspective he has on things, having never watched tv as a child.",tv,13
watch,"Since i'm already sick of explaining things like who each character is on friends or how wheel of fortune  always  comes on at 6:30pm, i highly doubt that after we're married we will be watching tv at all.",tv,40
watch,"When the girlfriend is watching tv: (alias, reruns of 90210, american idol, parts of fastlane and tons of other uh, stuff) i have no choice but to see some of it.",tv,5
watch,"For the record, i can't watch more than an hour of network television without complaining and feeling my brain start to melt.",hour,11
watch,I couldn't watch more than 2 minutes of fastlane.,minutes,7
watch,"But bill insisted... 'the cops are after me (i'm a drug dealer, but just a *little* drug dealer) and so i think that they have someone watching me who is using your apartment as a hideout.'  wtf??",me,35
watch,"So...  she was going to have a bunch of her friends over for a 'girls night' where they'd drink, watch chick flicks, talk about make-up or whatever... the works.",works,38
watch,"Now, since i don't watch a lot of tv, i whittle my idle hours playing video games.",lot,8
watch,"When i'm here in ny by myself, i don't have many options for things to do: i either go back to my hotel room and watch way too much tv and eat a bag of pirate's booty (my favorite), or i go wander around until the stores close and spend money.",tv,33
watch,"If you haven't watched the show, pick up an episode or two at the video store.",show,6
watch,Duf:  watched most of curb your enthusiasm last night.,most,4
watch,"I can't wait to eat  real  fish and chips, watch the big breakfast, go to some good indian restaurants, attend an evensong at westminster abbey, eat belgian chocolate, and talk to many british men.",breakfast,16
watch,I still watch the muppet movies.,movies,5
watch,5. watching disney movies (ie 'tuck everlasting') and thoroughly enjoying them.,movies,4
watch,"For those not in the know, this video game is what i've been doing with my free time...you know, instead of watching 'friends' or 'the bachelor.'",friends,28
watch,"I'm going to second city tonight and i can't wait to laugh my ass off...plus, tomorrow is the brew and view's best line-up to date: cheap pitchers of miller light will be enjoyed while watching jackass: the movie, jay & silent bob strike back, and office space on the big screen.",jackass,44
watch,"I'm watching blizzard-like conditions outside, but apparently, no precipitation is expected until the weekend, if not later.",conditions,6
watch,I will never watch the news the same way again and i think ol' chuck heston and rich clark are a couple of the biggest celebrity assholes i've ever come across.,news,5
watch,"For the past week or so, my boyfriend (as he is officially titled) and i have been watching the fellowship of the ring.",fellowship,22
watch,"I watched a bit of the show, though i missed the live performance (sniff, sniff).",bit,3
watch,"Of course, she didn't expect the backlash she got from the press and every other automoton that watched the awards.",awards,21
watch,"I've got a heart condition, so i'm only supposed to watch it infrequently.",it,14
watch,"This reminds me, earlier this week i was watching a morning program and they were showing this piece about a little kid (about 4?) whos favorite thing to do (aside from suction-cupping things to his stomach) is to take helium balloons to a nearby hillside and send them to his dead grandma.",program,12
watch,"Hal, for the record, we watched the entire movie.",movie,10
watch,"Btw, while watching the golden globes (insert your own joke here), karen said, in that voice that women take on when they are shooting down other women",globes,6
watch,"Granted it's no 7-year term, but i still told him he better 'watch his back' while he's there...if you know what i mean.",back,19
watch,"Okay, so i should know better, but i watched a good chunk of the golden globes last night anyway.",chunk,13
watch,"Yes, i'm a movie nerd and i've watched every little nugget of the extras on the 'fellowship of the ring: extended edition' (save for the commentaries) and i'm sorry, but if there was ever a director who deserved a 'best director' win, it's good",nugget,13
watch,"For the record, this is the first grammy's that i actually watched more than 65% of.",%,17
watch,"Well, besides the fact that they'd give me a $1000.00 too...  dvd update: i got the insomniac dvd and have watched 85% of it already.",%,28
watch,(but watch yourself.),yourself,3
watch,I plan to watch it on my way to jersey tonight.,it,4
watch,"Its the same reaction i would have after watching dawsons creek and someone would say, i think joey and pacey are going to get together because of what he said at the hot dog stand, and i would be say",creek,10
watch,When you think you're watching oprah really 'giving something back' take a closer look.,oprah,6
watch,You're watching an oprah informercial!,informercial,5
watch,But i was really looking forward to watching the war on tv tonight...'.,war,9
watch,"I usually try to walk back to my hotel (about a 40-block hike), go to a deli for sushi or the salad bar, order a cheesy romantic comedy on my tv that i'd never pay for with my own money, watch it, and then at about 9pm i'll go to the hotel gym.",it,49
watch,"Since i don't watch much tv, i have to back to wednesday.",tv,6
watch,I watched the last half of a show called 'extreme makeovers.',half,4
watch,"Needless to say, if you like jason schwartzman, just watch  urllink rushmore  again.",rushmore,14
watch,And watched tlc all day long.,tlc,2
watch,Perfect for watching my asspocket of dvds and playing video games until my eyes were as dry as chicken tenders from arby's.,asspocket,4
watch,"If you're in the office (duf, hal) you must stop by to watch the video that's included on the cd.",video,18
watch,"I like a lot of the animals, but watching big animals like dolphins or whales in water is always cool.",animals,11
watch,Last night i  urllink watched this  and found it to be excellent.,this,6
watch,"Also, a few nights ago i watched a couple of episodes from season four of  urllink sex and the city .",couple,9
watch,It's been a movie marathon   i've watched a ridiculous number of movies this week.,number,12
watch,"(things to consider: grocery shopping, buttering, watching a football game during allergy season)",game,13
watch,"(things to consider: grocery shopping, buttering, watching a football game during allergy season)   i would pick b.",game,13
watch,"(things to consider: grocery shopping, buttering, watching a football game during allergy season)",game,13
watch,"Last night, instead of watching dawson's creek, i was doing testing for an implementation and one of our project managers gave me tone.",creek,8
watch,"Right after work i turn on upn (channel 10) and watch blind date (makes me feel really good about my dating life), and then switch to fox at 6:30 to watch seinfeld.",date,14
watch,"Right after work i turn on upn (channel 10) and watch blind date (makes me feel really good about my dating life), and then switch to fox at 6:30 to watch seinfeld.",seinfeld,36
watch,Who in the hell could watch yet  another  episode of fear factor or survivor anyway?,episode,10
watch,I don't really watch much else.,much,5
watch,"They were too busy watching american idol, or survivor or some other drivel.",idol,6
watch,I'm just going to admit it - last night i watched the 90210 reunion show.,show,15
watch,"As the concert went on and i watched him more, i could tell he was sincerely moved.",him,8
watch,"When my team is in the ncaa tournament, i try to watch all the games in the same place and wearing the same things i wore during a (usual) first round win.",games,15
watch,I was on a yacht drinking white wine and watching the fireworks.,fireworks,11
watch,Yesterday i watched an oldy but goody -  urllink rattle and hum .,rattle,10
watch,"In fact, since getting the dvd version a couple of christmas's ago, i don't think i'd actually watched the darn thing.",thing,25
watch,"So much so, that last night (note - after watching r&h) i dreamt that i was in a panic because i went to the hall and forgot to see the u2 stuff.",r&h,12
watch,"Sitting in a dark theater, with smuggled-in whoppers (delicious), watching the latest indie flick.",flick,19
watch,"I watched 2 episodes of that show last night and was completely delighted (i am delighted for 2 reasons: 1) because i even  could  watch it - i've never had cable, and in my new place i tapped into the line and am getting it free - shhhh!",episodes,3
watch,"I watched 2 episodes of that show last night and was completely delighted (i am delighted for 2 reasons: 1) because i even  could  watch it - i've never had cable, and in my new place i tapped into the line and am getting it free - shhhh!",it,30
watch,I hope more straight men catch on and watch this show.,show,10
watch,"Lest you think im frivolous, i signed up for the most basic service (less than $10/month) so that i can get decent reception (i cant watch the o.c. in black and white with snow, yo).",o.c,36
watch,"Lest you think im frivolous, i signed up for the most basic service (less than $10/month) so that i can get decent reception (i cant watch the o.c. in black and white with snow, yo).",.,37
watch,Things to do on a rainy day    urllink watch this.,this,10
watch,"Blown out of proportion   i was watching the early show this morning (to catch a glimpse of  urllink my beloved , of course) and they had an interview about steve bartman, the poor sap who is now part of cubs lore.",show,10
watch,"So instead of crying my eyes out watching the cubs lose last night, i was laughing it up to about 7 comics.",cubs,9
watch,I actually felt sorry for the guy and watch some of the news this morning and heard some of the fans reactions to what happened.,some,9
watch,"Not only was he at the game to watch his favorites superjocks run around in their gay little stirrups, he was also listening to it on the radio and sadly...he never saw it coming.",favorites,10
watch,"My protest that it was 1:00 in the morning (hello, business traveler?  might have a meeting in the a.m....hello?) and that i was not likely to watch a movie so late fell on deaf ears.]",movie,36
watch,I'd rather watch a buffalo shit.),shit,6
watch,I watch movies to escape   i love the feeling i get when i bring home rented movies (usually 4 at a time).,movies,2
watch,No way could i watch this.,this,5
watch,"Wicked awesome  by duf 'tv' fer  last night, i was (like all god-fearing americans) watching baseball on the telly when mrs. duf interrupted me with an urgent request - 'go get groceries.'",baseball,24
watch,Editor's note:  mrs. duf was not watching baseball and is irretrievably communistic and atheistic.,baseball,11
watch,"Solution:  i took my mini portable tv (you know the ones with the 2 inch screen, right?) and watched the game while i shopped.",game,26
watch,"I told him that the sox just hit a home run to make is 5 to 0, and we watched the replay together.",replay,22
watch,Sit and actually watch some of my damn dvds (borrowed or otherwise)   2.,some,4
watch,Watch a movie or 2.,movie,2
watch,Eating mac & cheese while watching a rented movie.,movie,8
watch,Our attention was taken away from the child in the crib as we watched the face of the child in dads arms.,face,15
watch,"I have a book to read for book club (remember i also fart a lot and watch copious amounts of football), but right after that i'm going to read  mansfield park  or  pride and prejudice .",amounts,19
watch,"I like to read and thought i would not read as much if i had movies to watch (although i used to be able to play movies on my laptop, and i found sometimes i felt like reading, and sometimes i felt like watching a movie).",movie,48
watch,Click on 'videos' and watch it.,it,7
watch,"Now, i refuse to watch it during it's normal broadcast, what with the commitment and the commercials and such, but suffice it to say, i've blazed through the first 2 seasons on dvd and i'm anxious for the release of season 3.",it,6
watch,"I know i come off as nerdy for having that as a favorite (other favorites are 60 minutes and the simpsons), but if you ever watch it, you will be amazed by how they put together a phenomenal show every darn week, 52 times a year.",it,29
watch,"Last night i watched that new reality show, my big fat, greek, obnoxious, fat, loser fiance.",show,7
watch,"I would watch it again, but there is no way i will remember when it is on next.",it,3
watch,Quick comment to duf - it's clear that you don't watch enough reality television if that 'obnoxious fiance' show is one of the 'best tragedies ever displayed on television'.,television,15
watch,"Big, fat, obnoxious  by duf 'big, fat, obnoxious' fer  i watched the big, fat, obnoxious finale of mbfof (my big fat obnoxious fianc) last night.",finale,25
watch,Have you ever watched someone at bat during a baseball game?,someone,4
watch,"During the ncaa men's basketball tournament, i wear my lucky ku hat (which im starting to question) and i watch all the games in the same place.",games,27
watch,I still think we lost last year because i watched the championship game in columbus (work related) instead of at home in st. paul where i watched all the other games.,game,12
watch,I still think we lost last year because i watched the championship game in columbus (work related) instead of at home in st. paul where i watched all the other games.,games,33
watch,Closed circuit to duke:  watch your back.,back,8
watch,She let me view her copy of  the office  (on bbc dvd) and i watched every single morsel in one sitting.,morsel,21
watch,I guess that makes me a 'fat git nerd' who watches these types of things 'with the shades drawn on a sunny day.',types,14
watch,Bb and i watched series 1 (borrowed from hal) of  urllink,series,4
watch,"best auntie ever), watch alias.    5.",alias,6
watch,Back in our rooms by 11pm we congratulated each other on staying up past our goal our and fell asleep watching 'sex and the city'.,sex,23
watch,"Dunno why, but i just remember being really, really excited about watching it.   3. ...",it,14
watch,On saturday we usually watched looney tunes.    3. ...,tunes,6
watch,On saturday we usually watched looney tunes.    3. ...,3,9
watch,"Hmmmm, maybe the dorks were the kids watching that gay-ass show?",show,13
watch,"ooo boy...digging around in my mental archives...i'd have to say that i don't remember a whole lot of lines from movies so i don't know if i have a favorite, persay....actually the only lines that i can remember right now are from movies that i watched over and over and over when i was growing up, the classics like 'breakfast club' and 'sixteen candles'.",that,52
watch,We definitely have to get a group together and watch these things.,things,11
watch,"This version was on hbo, and i watched it on a video tape that my in-laws lent me.",it,9
watch,"As i watched it, i kept thinking i cant believe one person wrote this.",it,3
watch,I've been watching  a lot  of movies lately.,lot,6
watch,"urllink life as a house , 2001 - 4 stars i bawled (but take this from a girl who's cried while watching  urllink colonial house  on pbs).",house,27
watch,"Hal: 'oh, i've just been watching that dry-humping couple in the pool.'",couple,14
watch,5) we watched zoolander before we went out one night and i was dared to go up to a guy and say 'you can dere-lick my balls cap-i-tan.',zoolander,4
watch,"We also watched this really impish, quirky folk singer named  urllink haley bonar .",singer,9
watch,When we got there ferrell told me to watch my step because i tripped the night before.,step,10
watch,It was fun when i got to watch christmas vacation in spanish class.,vacation,9
watch,So we watched our video in miller's room during lunch today.,video,4
watch,"they were practically hyperventilating at the midnight showing of one of their favorite movies, and it was as fun to watch them as it was to watch the movie itself.",them,22
watch,"they were practically hyperventilating at the midnight showing of one of their favorite movies, and it was as fun to watch them as it was to watch the movie itself.",movie,29
watch,"So here i am, listening to my neighbor's son's band, jamming in their garage, and watching monsters,inc., and blogging right along.",monsters,21
watch,I pray now that i can remember this personal revelation from god tomorrow-tonight-as i watch other couples...and remember that god is husband-he is my friend-he is my father-he is everything that no man could ever be.,couples,20
watch,"I was watching tombstone tonight, and there is a scene at the end where jody looks in the mirror after a show.",tombstone,3
watch,Everyone should have a chance to watch it!,it,7
watch,Saturday- i went to marshall's house and watched school of rock (great movie).,school,9
watch,"Awhile ago i was watching the television, and i was incensed what our current congressman said in his interview.",television,6
watch,watching kendo is not fun.,kendo,1
watch,She lost both of her babies in the second great war now you should never have to watch your only children lowered in the ground,children,20
watch,and im really bored see my friends are watching big fish the movie,fish,11
watch,o joy soo then we went outside and to our surprise petey was their ahh soo we talked to him then ran away back in the house//lol and soo then we hung out in ma room like always then we gotta ride to glennas and watched gothika and omg we dressed up like complete idiots like amanda had her socks on over her jeans(soccer socks) glenna had on a red robe with a fake cigarette and slippers i had on a gms sweatshirt a winter coat a beanie a visor one soccer sock on over my jeans,gothika,47
watch,But more then likely i'll go watch ' urllink fight club ' and once again spend a night sat doing sweet fuck all.,club,11
watch,The start of the day wasnt so bad i woke up at 12:05 watched tv for a while then went outside to mow the grass with my mom but as u know in my family when everything is going good somthing bad is about to happen and it did.,tv,15
watch,"But, let's back up to wimbledon as i pay homage to all of the hot men that i have watched over the years.",that,18
watch,I have been watching the olympic trials for women's gymnastics and i think we are going to take control and be awesome ala 1996 (in hotlanta!).,trials,6
watch,"But, for any of you who may have watched the show, i have to say that the guy, randy i think, is the biggest waste of a hot body i have ever seen.",show,11
watch,All i did was watch the ceiling for about 2 hours and then i guess the feeling of emptiness overtook me and i feel asleep.,ceiling,6
watch,"Watching this sight for a few minutes and i could only remember the time when i had gone for a drive down the ecr, it was raining heavily, so the car had to pull over for a while and wait.",sight,2
watch,"Yesterday i was watching the movie paycheck, and there was an interesting statement made in that..'life is a sum of all our mistakes'.",paycheck,6
watch,"Later in the evening, it was off to the club, where to my surprise i got to watch the cricket match on a giant screen.",match,22
watch,"After very many years of pondering, keenly watching women and men go crazy over each other, i think i have come to a point where i can atleast contribute to this topic now..",women,9
watch,"Last week, i had the chance to watch this movie flash dance, after a really really long time...one amazing movie which revolves around one's belief to succeed in their dreams, and never give up....the road will always be there, just get onto the road, and get travelling...",dance,12
watch,"So far the saturday has been a touch boring, just watched a hindi movie, chalte chalte, will have the movie review up in my movie blog soon.",movie,14
watch,"Watched this movie called hum tum, hindi movie, which if literally translated means, we u...!",movie,2
watch,"For a long time, while watching serials like b&b, santa barabara, dynasty, young and restless,neighbours, etc, i used to wonder when the reference used to be made about your 'first true love'!",serials,7
watch,"This was a bit of a dormant topic, till yesterday, when i was watching this news cut on a news channel about live relationships, and the gaining popularity of this concept among indians.",cut,18
watch,"Well, things kindof got started on saturday when i watched this movie called chalte chalte, quite an ironic movie about this guy who seem to do everything wrong with this girl, she marries him, and he continues to let her down.",movie,12
watch,"Well, things kindof got started on saturday when i watched this movie called chalte chalte, quite an ironic movie about this guy who seem to do everything wrong with this girl, she marries him, and he continues to let her down.",movie,20
watch,I then sat down and watched khakee.,khakee,6
watch,"Courtesy of the medicine put in my eyes, hardly could watch the tv too!",tv,13
watch,"Was around 4pm, then decided to watch  a movie, so checked out 'what a girl wants'.",movie,11
watch,Today i watched the public opinion concerning to child labour in the country.,opinion,5
watch,"I thought it was so disturbing, but i kept watching it anyway..hehe.",it,11
watch,"As usual, me and puma ended up at my place, watching the food network channel.",channel,16
watch,"I remember when i was in high school, if we didn't have school on saturday, we always went to new york cafe to watch the groove on stage..hehe..they always knew our crowd, because we're all girls..hehe.",groove,28
watch,but i went anyway and got home on time to watch the second show.,show,13
watch,"I don't know, i get scared easily by watching that kind of movie.",kind,12
watch,I've watched it more than 20 times or more.,it,3
watch,I really like to watch the chemistry between meg ryan and tom hanks.,chemistry,6
watch,I got home at around 2 and spent my afternoon watching dvd and taking a nap :p,dvd,11
watch,I've been watching some movies these couple of days.,movies,5
watch,"This movie is..'interesting'..it's just like one of those twilight zone movies, but i prefer to watch twilight zone instead of this movie.",zone,23
watch,"This movie is..'interesting'..it's just like one of those twilight zone movies, but i prefer to watch twilight zone instead of this movie.",movie,27
watch,"So, don't waste your money to watch it hehehe.",it,9
watch,"The other movies were alright, except for  the human stain , i slept during the movie and watched it over when i woke up :p",it,20
