lemma,verb form,Sentence,dep set,count of dep set,perc of dep set,entropy,index of verb,Doc index,Sent index,verb count overall
make,made,"and she told me that this chick that I used to be friends with in elementary school (until she turned on me and spread ugly rumours about me to the rest of the school, rumours which followed me for years and made elementary school a living  hell",dative,1,0%,1.31,43,34262,11,1074
piss,pissing,"the class responded 'yes' and he continued 'Good, I sometimes don't know if it's hot or if I'm just fat.'  pissing yourself in class is embarrassing, so I tried really hard to hold the urine in after that statement.",prep_dobj,2,3%,1.32,30,34579,7,69
piss,pissing,"Scary like when you ride a rollercoaster, it's just going to be fast, fun, and will leave me pissing myself with excitement.",prep_dobj,2,3%,1.32,22,34546,31,69
express,express,"Seems to me that the food was overhyped and overpriced to begin with, but now add the word 'express' to it, and it's the most expensive, bland, slowest fast food with a lot of attitude behind the cash register.",NO_DEPS,4,6%,1.32,20,12038,23,62
express,express,i bought a top from express too.,NO_DEPS,4,6%,1.32,5,36940,101,62
express,express,............ express ............,NO_DEPS,4,6%,1.32,1,12699,0,62
express,Express,'Express Yourself' - N.W.A.,NO_DEPS,4,6%,1.32,1,19457,0,62
throw,thrown,"I had a dream that I was arrested for some reason and thrown into jail, this was a lucid dream, however it's hard to take control when you don't realize that you have any; I thought it was real.",prep,3,2%,1.34,12,270,2,126
throw,threw,"I guess you would still have to think of threw with he, she, we or they.)",prep,3,2%,1.34,9,17929,27,126
throw,throw,we always rite things on paper then throw to each other,prep,3,2%,1.34,7,33891,17,126
praise,Praise,Praise God for you!,dobj_dative,2,3%,1.34,0,33152,13,64
praise,Praise,Praise God for me!!,dobj_dative,2,3%,1.34,0,33084,56,64
kill,killing,Or I could just let you do the killing without killing you,dative,1,0%,1.34,-1,28183,41,265
enjoy,enjoy,The downstairs shitter is the designated: Have a seat and enjoy yourself theme.,dobj_dative,1,0%,1.34,11,6868,27,326
understand,understand,"But I know that I just have to try and understand with him moving and all, that he's not gonna be able to do something for a while until he's all unpacked.",prep,4,4%,1.34,10,29875,4,106
understand,understand,"If you are confused by American English and would like to speak and understand like a native, you need to read this book!'               American Accent Training.",prep,4,4%,1.34,13,17919,162,106
understand,understand,"It is true that man and wife are one person, but understand in what manner.",prep,4,4%,1.34,12,11712,2,106
understand,understood,"Epistemology is the study of knowledge considered as a real physical phenomenon, and understood in terms of the isomorphic relationship between the knowledge structure itself and the 'world' a part of which it represents.",prep,4,4%,1.34,14,18826,7,106
protect,protected,Could the rows and rows of fences simply be a silent scream to all who will take noticed - 'We need to feel safe and protected!',NO_DEPS,3,6%,1.35,26,10109,17,53
protect,protected,"Although the First Amendment may require unwilling adults to absorb the first blow of offensive but protected speech when they are in public before they turn away, see, e. g., Erznoznik, supra, at 210-211, but cf.",NO_DEPS,3,6%,1.35,16,16759,748,53
protect,Protected,Protected?:,NO_DEPS,3,6%,1.35,0,30194,26,53
waste,wasted,"and, when i'm completely off-my-ass wasted at the reception, i will slur to my disapproving relatives, 'fuck you.",prep,1,2%,1.36,11,20458,7,59
do,do,"I want to send you this little gift, and do something nice for yourselves with it.",prep_dobj_dative,1,0%,1.36,10,9607,11,1919
fix,fix,"anyways, i'm gonna go and fix me some hot pockets (yes i'm lazy) and go to bed soon.",dobj_dative,1,1%,1.36,8,39989,12,75
lie,lying,i saw myself sitting in my bed at home and lying my back against the wall.,dobj,2,2%,1.36,10,37499,13,99
lie,lay,"Hey you always on the run Gotta slow it down baby, gotta have some fun  Gotta keep it down honey, lay your back on the line",dobj,2,2%,1.36,26,6153,23,99
download,Download,Download like hell.,prep,2,3%,1.38,0,16288,34,70
download,downloading,"But I guess its worth it, provided my videos finish downloading by tmr that is.",prep,2,3%,1.38,11,22000,15,70
carry,carry,Apparently our conceal and carry statute has been ruled unconstitutional by a district court judge.,NO_DEPS,1,2%,1.39,4,7890,0,55
consider,Considering,"Considering except for the reality television which I am addicted to, I am beginning to loathe the channel.",prep,3,3%,1.39,0,36645,6,91
consider,considered,"He is high profile, and everything he does will get attention, so all of his actions will seem self-serving to an extent, but considered against the alternative - doing nothing - I hope he continues to speak out even though it means he will be criticized.",prep,3,3%,1.39,28,6715,17,91
consider,considering,"After considering among various hot-topics that I am interested very much to make some annotates, I'd like to start maintaining a long awaited  #direktif .",prep,3,3%,1.39,1,39873,0,91
date,dating,"i'd had an aversion to dating my friends since high school, because i once had a passing fancy for a girl i'd been best friends with.",prep_dobj,3,3%,1.4,6,27589,8,112
date,dating,I spose dating her sister for the last 2.5 years has something to do with that one.,prep_dobj,3,3%,1.4,2,23462,33,112
date,dating,"He's not on the show anymore.'  mr. hooper and i were best friends in the fullest highschool sense of the word, so i didn't have realistic intention of dating her per se, but then she got wind of my passing fancy because i'd mentioned it in passing to a passing friend, so quite naturally she reacted by never speaking to me again.",prep_dobj,3,3%,1.4,35,27589,12,112
remove,removing,Bake 35 minutes at 350° F. Let stand 10 minutes before removing from pan.,prep,3,4%,1.41,12,10427,7,76
remove,Removing,"Your golden glow filled my being Imparting a peace Of light and love Removing in it’s wake Tears, Confusion,  Hopelessness.",prep,3,4%,1.41,13,22403,1,76
remove,Remove,Remove to a bowl.,prep,3,4%,1.41,0,32129,22,76
mean,means,In this ever more cashless society spending our hard-earned money means credit and debit cards.,prep_dobj,2,3%,1.41,12,38020,0,79
mean,means,"I wanna get hurt  I have the rights of being angry, but it doesn't mean that I do something cruel  sweet words without doing means goodbye with the one I love  I'll loose the one I love faster and often   ~~~Love doesn't make the worl go around~~~ ~~Love is what makes the ride worth while~~",prep_dobj,2,3%,1.41,28,17640,4,79
win,winning,"He had no chance of winning in 2000, and he has even less of a chance now.",prep,3,2%,1.41,5,7679,10,162
win,Winning,Winning of the bid is a very important and not so easy task and having your own site is a great advantage (as I found to my expense).,prep,3,2%,1.41,0,36365,13,162
win,winning,Back then I was even leaning to voting for Bush if the Democratic National Party allowed the early primaries to elect a candidate who may have been winning the party faithful but had no chance of winning over the Democratic population at large.,prep,3,2%,1.41,36,1291,10,162
choose,Choose,"Choose from gangsta, biker, tribal, and Japanese.",prep,2,3%,1.42,0,30582,9,69
choose,choosing,"I stated that it was like choosing between two children, it was like Sophie's Choice, the Apple Macintosh version.",prep,2,3%,1.42,6,492,21,69
hate,hate,There are many things I have come to love and hate over the past 9 months.,prep,5,5%,1.42,10,22470,8,108
hate,hate,i think so (53) Is there anything you fear or hate about yourself?,prep,5,5%,1.42,12,6148,73,108
hate,hating,"Man united are worth hating because  1) they rejected the FA cup to play in a more financially rewarding competition, only to go out first round, come back and claim that that years FA cup was pointless cos they werent in it  2) peter kenyon is trying to get the FA to allow them to play on Saturdays at 3pm to allow for more televised games.",prep,5,5%,1.42,4,33500,0,108
hate,hate,Now I dont feel love or hate  For the boy who broke my heart in two....:(,prep,5,5%,1.42,7,39298,9,108
hate,Hated,"Check out 'Hated because of Good Qualities', 'Mama Cita', 'Futurism vs Passeism' and Equally Damaged'.",prep,5,5%,1.42,3,17726,65,108
catch,Caught,"And we know that you could go and find some other Take or leave it or just don't even bother Caught in a craze, it's just a faze Or will this be around forever  Don't you know it's going too fast Racing so hard you know it won't last Don't you know, what can't you see Slow it down, read the sign, so you know just where you are going  Stop",prep,4,4%,1.44,21,6153,13,101
catch,catching,So i decided to play catching with her in the house today.,prep,4,4%,1.44,5,20700,3,101
catch,Caught,"I'm tired of being what you want me to be Feeling so faithless, lost under the surface I don't know what you're expecting of me Put under the pressure, of walking in your shoes (Caught in the undertow, just caught in the undertow)",prep,4,4%,1.44,40,22866,0,101
catch,caught,"I hope that if you're like me, caught in the whirl of obligations to everyone but myself, caught in more than a few issues you can't seem to find resolutions for, you'll find a day like I did to rediscover the peace we always seem to be looking for.",prep,4,4%,1.44,20,15655,32,101
wash,washing,"I finished washing at about 8.30 pm and now I am here, writing this blog!",prep,1,2%,1.44,2,22331,13,56
grow,grow,"I have to try to save them all now, and probably re-grow some from seed.",prep_dobj,1,2%,1.44,14,19699,16,65
set_up,setting_up,i was starting to seriously consider setting up a second 'buffy blog' for you guys -,dobj_dative,1,1%,1.45,6,2610,0,81
marry,marry,I used to believe that I'm suppose to find true love the year I turn twenty five and marry that person at thirty.,prep_dobj,5,4%,1.48,19,12904,2,134
marry,marrying,Roman monk was arrested and charged for marrying couples against the wishes of the Emperor Claudius.,prep_dobj,5,4%,1.48,7,22253,4,134
marry,married,"We ended up giving each other evil eyes, while Kiera said things to me such as - 'One day you're gonna meet some hobo on the street and get married 2 him in one of those Las Vegas wedding chapels' and my retort was that she was 'Going to end up as an old loveless lady, and all she had were her cats!'",prep_dobj,5,4%,1.48,33,37672,23,134
marry,marry,"everything possible, i've done to cure you, a cry, a cut, a flower in the dark, an orchid black, pink, blue.   to tame you, i keep you in my dream, marry you to your sister living on the outside planet of jupiter.",prep_dobj,5,4%,1.48,42,9067,1,134
marry,marrying,"Rumor has it that since Edwards is worth only 60 million dollars, he may back out from marrying him in Massachusetts.",prep_dobj,5,4%,1.48,18,38971,6,134
imagine,imagined,"urlLink Recovery  was certainly a product of its time, which is why it wouldn't be the same now if it was to be resurrected or re-imagined in whatever form.",prep,2,3%,1.49,30,15770,4,76
imagine,imagining,"It is only at this hour that I keep imagining of rushing countrysides, lazy afternoons, or reading a book, or travelling for that matter.",prep,2,3%,1.49,9,33810,1,76
see,see,Go see the movie for yourself.,dobj_dative,1,0%,1.5,1,34531,44,1488
yell,yells,"The taxi seizes the chance to pull into a farther lane and go around the delivery guy, and yells something out the window at him.",prep_dobj,4,5%,1.51,19,25320,7,88
yell,yelling,He continued kicking things and yelling stuff at us and when I looked up to my left a young Japanese girl gave me a smile as if she understood our situation completely.,prep_dobj,4,5%,1.51,5,22474,13,88
yell,yells,"As all of these thoughts race through my head, he squeezes in next to me, stops, and yells in broken English, 'Vat ahr yoo doing, clazy lady?!!!'",prep_dobj,4,5%,1.51,20,12170,34,88
yell,yelling,I was making dinner and he was playing Mario party and literally reciting every sound the game made and yelling 'OH BABY' at the screen when he would win a mini-game.,prep_dobj,4,5%,1.51,19,29248,12,88
join,Join,Join me my friend into elimating these critters.,prep_dobj_dative,1,1%,1.52,0,694,12,93
cross,crossed,"He's got to pop and see this guy at three o'clock, so everyone keep everything crossed for him!!!!!!!!!!!!",prep,2,4%,1.52,17,22573,1,55
cross,crossed,i'll keep my fingers crossed till friday!,prep,2,4%,1.52,5,36909,27,55
let,let,"Then someone said let's print magazines with pictures of nude women and call it wholesome, down-to-earth appreciation for the beauty of the female body.",dative,1,1%,1.52,3,23517,66,115
edit,editing,"Woke up at 7:15 am to finish editing a final presentation for my Revelation to John class, a New Testament course that pairs more typical textual analysis with artistic interpretation.",dobj_dative,1,2%,1.53,7,8484,0,51
sit_down,sat_down,"Ohh yes, aparently, it's ok for people to sleep upstairs, but when they go downstairs they are way out of line!they took us upstairs and sat us down on the couches at the main counter place, and James was looking like a crack addict",prep_dobj,1,2%,1.53,29,29486,34,52
miss,Missed,Missed him lots.,dobj_dative,3,1%,1.53,0,13491,4,207
miss,miss,"For my folks and sisters....love and miss you guys, and Suzanne ,I'll see you in 2 months for part 2 of the Choi kids in Korea.",dobj_dative,3,1%,1.53,8,15935,1,207
miss,missed,missed me rite?,dobj_dative,3,1%,1.53,0,19058,1,207
like,liked,"Basically, if there was something you remembered or liked as a kid, I'd have it in stock.",prep,5,5%,1.53,9,7730,16,105
like,like,Or even in bed with a set you like,prep,5,5%,1.53,8,28967,40,105
like,like,and i continued walking up the stairs..and he's STILL looking at me..like up and down..he was like checking me out!,prep,5,5%,1.53,16,3752,17,105
like,liked,"I had said a couple of days ago that for a goal I was going to write 3 things that I did well or liked about myself, so I guess now would be a good time to do that.",prep,5,5%,1.53,24,22598,8,105
like,Like,Loner      Your Favorite Band/Song    Evanescence - My Immortal      You Like To Read:    The backs of cereal boxes      You Firmly Believe In:    Nose-picking      Everyone Thinks You Are:    A complete loser      You Were Conceived:,prep,5,5%,1.53,14,20272,3,105
hope,hope,hope tt in d end..,prep_dobj,4,7%,1.54,0,26795,71,59
hope,Hope,Hope you like the new Blog look.,prep_dobj,4,7%,1.54,0,8773,33,59
hope,Hope,Hope you like it.,prep_dobj,4,7%,1.54,0,24324,19,59
hope,Hope,Hope you like traffic!,prep_dobj,4,7%,1.54,0,7751,15,59
shut,shut,Mood: very focused  What i should put in mind: I better keep my mouth shut during st. john ambulance 1st aid class.,prep,3,6%,1.54,17,21232,0,53
shut,shut,"I did think to ask which drugs the test looked for, but I decided to keep my mouth shut for that.",prep,3,6%,1.54,19,25905,4,53
shut,shut,"Needless to say, I kept my mouth shut during this whole episode.",prep,3,6%,1.54,8,7763,16,53
get_up,get_up,Big ups to the  urlLink SOE  cartel for helping get my music collection up over 120 gigabytes.  Check out the updated playlist... urlLink audio-inventory-kk.txt,prep_dobj,3,5%,1.54,11,30564,0,63
get_up,getting_up,"Is it actually capeable that the kid I like, likes me just the same, but also has the same mentality as i do when it comes to getting up the guts to making the first step?",prep_dobj,3,5%,1.54,29,1137,2,63
get_up,get_up,"What's important is that this job is going to give me the time to preach and be in the community doing devotional service, and that the income generated by this job is going to pay off our bills and get us up to Hillsborough.",prep_dobj,3,5%,1.54,41,31857,3,63
vote,voting,i think i will end up voting republican for governor and democrat for president.,prep_dobj,2,4%,1.55,6,23978,7,53
vote,vote,"let's all stand up together and vote the idiot and his crew of scum and villainy out of office, ok?",prep_dobj,2,4%,1.55,7,34132,5,53
read,read,"Sit down and read them a book, for Christmas sake.",prep_dobj_dative,1,0%,1.55,3,32000,31,1064
forget,forget,"I actually feel the bunch of guys I've met in the last couple of years while working where I am, are the best I have ever made, they are not like some of the friends I had in high school who seem to use when appropriate and forget you at other times and I honestly don't think they ever thought about it, or the friends they are unwilling or just unable to share any emotions deeper than a bottle of beer with you..",prep_dobj,3,2%,1.56,50,1215,10,153
forget,forget,"During these times those handful I call truly friends have been there for me to lean on, to draw strength from, to make me laugh and forget my worries at least for a moment or two.",prep_dobj,3,2%,1.56,28,23874,19,153
forget,forget,"Do NOT, like me, ignore your husband's encouragements to write up that list and as a result forget things.",prep_dobj,3,2%,1.56,20,22190,4,153
answer,answer,"I would love to hear the answers to these questions from you, so feel free to put them on your website and leave me a link OR answer them in my comments!",prep_dobj,5,7%,1.57,28,18397,29,72
answer,answering,"That and I started answering the phone by saying 'Go ahead caller, you're on the air.'  Also, and this is the best one.",prep_dobj,5,7%,1.57,4,656,50,72
answer,answering,"I didn't mind ringing them up, or answering questions for the hour previous.",prep_dobj,5,7%,1.57,9,38778,24,72
answer,answering,"Our efficient security heroes jumped in and solved the matters by answering swears with swears, pushes with pushes and glares with bigger glares!",prep_dobj,5,7%,1.57,11,16187,29,72
answer,answering,"I realize; what a dumbass, like answering the phone at that moment was so important that it superseded the mouth full of water and paste.",prep_dobj,5,7%,1.57,8,523,14,72
name,name,"Some will laugh and name them fools, but I know better, for I have heard their tales before, and know their skill quite well...",dobj_dative,1,1%,1.57,4,17100,3,74
