,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9
868,868,49,16,John,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,John,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
869,869,49,17,Roberts,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Roberts,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
870,870,49,18,abstaining,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,abstain,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
871,871,49,19,due,ADP,ADP,ADP,ADP,ADP,ADP,VERB,ADP,ADP,ADP,VERB,due,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
872,872,49,20,to,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,to,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
873,873,49,21,his,PRON,PRON,PRON,PRON,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,his,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
874,874,49,22,involvement,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,involvement,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
875,875,49,23,at,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,at,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
876,876,49,24,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,DET,DET,DET,DET,DET,DET,DET,DET,DET
877,877,49,25,D.C.,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,D.C.,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
878,878,49,26,Circuit,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,Circuit,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
879,879,49,27,level,NOUN,NOUN,PROPN,PROPN,PROPN,NOUN,PROPN,PROPN,PROPN,PROPN,NOUN,level,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
880,880,49,28,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,PUNCT,CCONJ,PUNCT,PUNCT,CCONJ,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
881,881,49,29,Anthony,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Anthony,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
882,882,49,30,Kennedy,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Kennedy,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
883,883,49,31,joining,VERB,VERB,VERB,VERB,ADP,ADP,VERB,VERB,VERB,VERB,VERB,join,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
884,884,49,32,the,DET,DET,DET,DET,ADJ,ADJ,ADJ,DET,DET,ADJ,ADJ,the,DET,DET,DET,DET,DET,DET,DET,DET,DET
885,885,49,33,liberals,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,liberal,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
886,886,49,34,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
887,887,49,35,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,DET,DET,DET,DET,DET,DET,DET,DET,DET
888,888,49,36,5,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,5,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM
889,889,49,37,-,SYM,SYM,PART,PART,SYM,SYM,SYM,SYM,SYM,SYM,SYM,-,SYM,SYM,SYM,SYM,SYM,SYM,SYM,SYM,SYM
890,890,49,38,3,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,3,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM
891,891,49,39,decision,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,decision,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
892,892,49,40,that,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,that,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
893,893,49,41,is,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,VERB,be,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
894,894,49,42,185,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,185,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM
895,895,49,43,pages,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,page,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
896,896,49,44,long,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,long,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
897,897,49,45,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
898,898,50,0,The,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,PRON,the,DET,DET,DET,DET,DET,DET,DET,DET,DET
899,899,50,1,actual,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,actual,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
900,900,50,2,vote,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,vote,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
901,901,50,3,is,AUX,AUX,AUX,AUX,AUX,AUX,VERB,VERB,VERB,VERB,VERB,be,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
902,902,50,4,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,ADV,a,DET,DET,DET,DET,DET,DET,DET,DET,DET
903,903,50,5,little,ADJ,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,little,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
904,904,50,6,confusing,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,confusing,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
905,905,50,7,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
906,906,51,0,Stay,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,stay,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
907,907,51,1,with,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,with,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
908,908,51,2,me,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,I,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
909,909,51,3,now,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,now,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
910,910,51,4,:,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,:,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
911,911,51,5,John,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,John,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
912,912,51,6,Paul,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Paul,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
913,913,51,7,STEVENS,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Stevens,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
914,914,51,8,delivered,VERB,VERB,PUNCT,PUNCT,PUNCT,VERB,VERB,VERB,VERB,VERB,VERB,deliver,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
915,915,51,9,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,DET,DET,DET,DET,DET,DET,DET,DET,DET
916,916,51,10,opinion,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,opinion,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
917,917,51,11,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
918,918,51,12,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,DET,DET,DET,DET,DET,DET,DET,DET,DET
919,919,51,13,Court,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,court,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
920,920,51,14,with,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,with,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
921,921,51,15,respect,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,respect,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
922,922,51,16,to,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,to,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
923,923,51,17,Parts,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,part,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
924,924,51,18,I,NUM,PRON,PRON,PRON,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,I,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
925,925,51,19,through,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,PUNCT,through,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
926,926,51,20,IV,NUM,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,IV,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
927,927,51,21,",",PUNCT,PUNCT,CCONJ,CCONJ,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
928,928,51,22,VI,NUM,PROPN,NOUN,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,VI,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
929,929,51,23,through,ADP,ADP,CCONJ,CCONJ,CCONJ,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,through,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
930,930,51,24,VI,NUM,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,VI,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
931,931,51,25,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
932,932,51,26,D,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,D,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
933,933,51,27,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
934,934,51,28,iii,NUM,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,iii,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
935,935,51,29,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
936,936,51,30,VI,NUM,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,VI,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
937,937,51,31,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
938,938,51,32,D,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,D,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
939,939,51,33,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
940,940,51,34,v,NUM,NOUN,NOUN,NOUN,PROPN,PROPN,PROPN,NOUN,PROPN,PROPN,PROPN,v,NOUN,NOUN,PROPN,PROPN,PROPN,NOUN,PROPN,PROPN,PROPN
941,941,51,35,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
942,942,51,36,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
943,943,51,37,VII,NUM,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,VII,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
944,944,51,38,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
945,945,51,39,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
946,946,51,40,which,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,which,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
947,947,51,41,KENNEDY,PROPN,ADJ,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Kennedy,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
948,948,51,42,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
949,949,51,43,SOUTER,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,PROPN,PROPN,PROPN,PROPN,Souter,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
950,950,51,44,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
951,951,51,45,GINSBURG,PROPN,PROPN,NOUN,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Ginsburg,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
952,952,51,46,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
953,953,51,47,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
954,954,51,48,BREYER,PROPN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Breyer,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
955,955,51,49,joined,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,join,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
956,956,51,50,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
957,957,51,51,and,CCONJ,CCONJ,CCONJ,CCONJ,ADP,ADP,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
958,958,51,52,an,DET,DET,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,a,DET,DET,DET,DET,DET,DET,DET,DET,DET
959,959,51,53,opinion,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,opinion,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
960,960,51,54,with,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,with,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
961,961,51,55,respect,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,respect,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
962,962,51,56,to,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,to,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
963,963,51,57,Parts,NOUN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,part,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
964,964,51,58,V,NUM,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,V,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
965,965,51,59,and,CCONJ,CCONJ,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
966,966,51,60,VI,NUM,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,VI,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
967,967,51,61,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
968,968,51,62,D,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,D,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
969,969,51,63,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
970,970,51,64,iv,NUM,PROPN,PROPN,PROPN,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,iv,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
971,971,51,65,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
972,972,51,66,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
973,973,51,67,which,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,which,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
974,974,51,68,SOUTER,PROPN,PROPN,PRON,PRON,PROPN,PRON,PROPN,PROPN,PROPN,PROPN,PROPN,Souter,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
975,975,51,69,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
976,976,51,70,GINSBURG,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,Ginsburg,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
977,977,51,71,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
978,978,51,72,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
979,979,51,73,BREYER,PROPN,PROPN,ADJ,ADJ,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Breyer,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
980,980,51,74,joined,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,join,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
981,981,51,75,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
982,982,52,0,BREYER,NOUN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Breyer,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
983,983,52,1,filed,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,file,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
984,984,52,2,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,DET,DET,DET,DET,DET,DET,DET,DET,DET
985,985,52,3,concurring,VERB,VERB,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,concur,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
986,986,52,4,opinion,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,opinion,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
987,987,52,5,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
988,988,52,6,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
989,989,52,7,which,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,which,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
990,990,52,8,KENNEDY,PROPN,ADJ,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Kennedy,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
991,991,52,9,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,CCONJ,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
992,992,52,10,SOUTER,PROPN,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Souter,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
